id,timestamp,machine_id,status,temperature,pressure,motor_current,flow_rate,energy,units_produced,good_units,defective_units,planned,ideal_cycle_time_sec
1,2026-07-02 00:00:00,CNC-01,IDLE,63.49,5.159,0.74,5.41,0.589,0,0,0,0,4.0
2,2026-07-02 00:01:00,CNC-01,IDLE,61.3,5.674,0.75,4.61,0.626,0,0,0,0,4.0
3,2026-07-02 00:02:00,CNC-01,IDLE,60.61,5.061,0.71,4.04,0.517,0,0,0,0,4.0
4,2026-07-02 00:03:00,CNC-01,IDLE,60.32,4.897,0.72,4.44,0.532,0,0,0,0,4.0
5,2026-07-02 00:04:00,CNC-01,IDLE,66.4,5.133,0.7,4.23,0.574,0,0,0,0,4.0
6,2026-07-02 00:05:00,CNC-01,IDLE,62.34,4.856,0.72,4.56,0.586,0,0,0,0,4.0
7,2026-07-02 00:06:00,CNC-01,IDLE,60.21,5.757,0.7,4.38,0.64,0,0,0,0,4.0
8,2026-07-02 00:07:00,CNC-01,IDLE,58.35,5.264,0.58,4.27,0.61,0,0,0,0,4.0
9,2026-07-02 00:08:00,CNC-01,IDLE,64.23,5.253,0.69,4.68,0.529,0,0,0,0,4.0
10,2026-07-02 00:09:00,CNC-01,IDLE,59.86,5.064,0.76,4.94,0.516,0,0,0,0,4.0
11,2026-07-02 00:10:00,CNC-01,IDLE,62.99,5.086,0.66,5.05,0.65,0,0,0,0,4.0
12,2026-07-02 00:11:00,CNC-01,IDLE,64.82,4.95,0.68,4.94,0.647,0,0,0,0,4.0
13,2026-07-02 00:12:00,CNC-01,IDLE,60.59,5.147,0.63,4.32,0.639,0,0,0,0,4.0
14,2026-07-02 00:13:00,CNC-01,IDLE,66.09,5.181,0.76,4.95,0.569,0,0,0,0,4.0
15,2026-07-02 00:14:00,CNC-01,IDLE,63.11,5.664,0.7,5.43,0.475,0,0,0,0,4.0
16,2026-07-02 00:15:00,CNC-01,IDLE,64.5,5.229,0.68,4.84,0.505,0,0,0,0,4.0
17,2026-07-02 00:16:00,CNC-01,IDLE,61.37,5.31,0.79,4.6,0.562,0,0,0,0,4.0
18,2026-07-02 00:17:00,CNC-01,IDLE,60.53,5.478,0.72,4.59,0.625,0,0,0,0,4.0
19,2026-07-02 00:18:00,CNC-01,IDLE,62.33,5.494,0.66,4.67,0.582,0,0,0,0,4.0
20,2026-07-02 00:19:00,CNC-01,IDLE,57.65,5.293,0.72,4.81,0.589,0,0,0,0,4.0
21,2026-07-02 00:20:00,CNC-01,IDLE,57.79,5.078,0.68,4.48,0.593,0,0,0,0,4.0
22,2026-07-02 00:21:00,CNC-01,IDLE,63.25,5.77,0.71,4.91,0.597,0,0,0,0,4.0
23,2026-07-02 00:22:00,CNC-01,IDLE,56.29,5.196,0.7,5.79,0.591,0,0,0,0,4.0
24,2026-07-02 00:23:00,CNC-01,IDLE,62.95,5.194,0.63,5.26,0.637,0,0,0,0,4.0
25,2026-07-02 00:24:00,CNC-01,IDLE,64.42,4.932,0.79,4.25,0.629,0,0,0,0,4.0
26,2026-07-02 00:25:00,CNC-01,IDLE,68.62,4.908,0.67,4.85,0.577,0,0,0,0,4.0
27,2026-07-02 00:26:00,CNC-01,IDLE,57.4,5.226,0.64,5.0,0.557,0,0,0,0,4.0
28,2026-07-02 00:27:00,CNC-01,IDLE,66.7,4.97,0.68,5.13,0.542,0,0,0,0,4.0
29,2026-07-02 00:28:00,CNC-01,IDLE,62.74,5.598,0.6,4.88,0.613,0,0,0,0,4.0
30,2026-07-02 00:29:00,CNC-01,IDLE,64.4,4.835,0.62,5.02,0.615,0,0,0,0,4.0
31,2026-07-02 00:30:00,CNC-01,IDLE,62.81,5.31,0.66,4.9,0.615,0,0,0,0,4.0
32,2026-07-02 00:31:00,CNC-01,IDLE,59.92,5.766,0.73,4.33,0.632,0,0,0,0,4.0
33,2026-07-02 00:32:00,CNC-01,IDLE,59.14,5.442,0.77,4.48,0.647,0,0,0,0,4.0
34,2026-07-02 00:33:00,CNC-01,IDLE,63.3,5.453,0.82,4.71,0.565,0,0,0,0,4.0
35,2026-07-02 00:34:00,CNC-01,IDLE,59.4,4.962,0.7,4.95,0.614,0,0,0,0,4.0
36,2026-07-02 00:35:00,CNC-01,IDLE,64.55,5.211,0.79,4.7,0.732,0,0,0,0,4.0
37,2026-07-02 00:36:00,CNC-01,IDLE,63.95,4.95,0.64,5.0,0.59,0,0,0,0,4.0
38,2026-07-02 00:37:00,CNC-01,IDLE,64.21,5.349,0.7,4.47,0.528,0,0,0,0,4.0
39,2026-07-02 00:38:00,CNC-01,IDLE,60.73,5.464,0.71,4.31,0.61,0,0,0,0,4.0
40,2026-07-02 00:39:00,CNC-01,IDLE,63.23,4.942,0.71,4.83,0.546,0,0,0,0,4.0
41,2026-07-02 00:40:00,CNC-01,IDLE,63.15,5.376,0.77,5.23,0.535,0,0,0,0,4.0
42,2026-07-02 00:41:00,CNC-01,IDLE,59.27,5.363,0.73,5.02,0.786,0,0,0,0,4.0
43,2026-07-02 00:42:00,CNC-01,IDLE,63.79,5.549,0.76,5.07,0.586,0,0,0,0,4.0
44,2026-07-02 00:43:00,CNC-01,IDLE,64.36,4.977,0.69,4.62,0.605,0,0,0,0,4.0
45,2026-07-02 00:44:00,CNC-01,IDLE,69.03,4.648,0.74,4.17,0.579,0,0,0,0,4.0
46,2026-07-02 00:45:00,CNC-01,IDLE,65.35,5.228,0.64,4.53,0.634,0,0,0,0,4.0
47,2026-07-02 00:46:00,CNC-01,IDLE,59.9,5.274,0.7,4.55,0.704,0,0,0,0,4.0
48,2026-07-02 00:47:00,CNC-01,IDLE,63.99,4.602,0.71,4.55,0.642,0,0,0,0,4.0
49,2026-07-02 00:48:00,CNC-01,IDLE,59.72,5.175,0.73,5.16,0.544,0,0,0,0,4.0
50,2026-07-02 00:49:00,CNC-01,IDLE,61.09,5.067,0.66,5.52,0.621,0,0,0,0,4.0
51,2026-07-02 00:50:00,CNC-01,IDLE,58.31,5.485,0.83,5.23,0.529,0,0,0,0,4.0
52,2026-07-02 00:51:00,CNC-01,IDLE,60.65,5.59,0.66,4.99,0.639,0,0,0,0,4.0
53,2026-07-02 00:52:00,CNC-01,IDLE,59.32,5.192,0.51,4.4,0.589,0,0,0,0,4.0
54,2026-07-02 00:53:00,CNC-01,IDLE,58.36,5.7,0.62,4.64,0.608,0,0,0,0,4.0
55,2026-07-02 00:54:00,CNC-01,IDLE,66.43,4.78,0.77,4.82,0.555,0,0,0,0,4.0
56,2026-07-02 00:55:00,CNC-01,IDLE,63.49,5.27,0.67,4.84,0.583,0,0,0,0,4.0
57,2026-07-02 00:56:00,CNC-01,IDLE,62.45,5.41,0.8,4.32,0.704,0,0,0,0,4.0
58,2026-07-02 00:57:00,CNC-01,IDLE,56.25,5.166,0.74,4.93,0.572,0,0,0,0,4.0
59,2026-07-02 00:58:00,CNC-01,IDLE,61.49,5.063,0.67,5.15,0.619,0,0,0,0,4.0
60,2026-07-02 00:59:00,CNC-01,IDLE,60.04,5.481,0.72,5.14,0.632,0,0,0,0,4.0
61,2026-07-02 01:00:00,CNC-01,IDLE,59.63,5.044,0.75,5.06,0.601,0,0,0,0,4.0
62,2026-07-02 01:01:00,CNC-01,IDLE,62.47,5.595,0.67,5.03,0.592,0,0,0,0,4.0
63,2026-07-02 01:02:00,CNC-01,IDLE,61.47,5.542,0.75,5.14,0.665,0,0,0,0,4.0
64,2026-07-02 01:03:00,CNC-01,IDLE,62.19,5.417,0.68,4.95,0.596,0,0,0,0,4.0
